extension,,the act of making something longer or greater
tank,,a large container for storing liquid or gas
disaster,,something that causes a lot of harm or damage; a very bad situation or result
sigh,,"to breathe out slowly and noisily, often because you are annoyed or unhappy"
routine,,the things you regularly do and how and when you do them
cake,,"a sweet baked food made from a mixture of flour, sugar, and other ingredients [such as eggs and butter]"
efficiency,,"the ability to do something or produce something without wasting materials, time, or energy"
membership,,the state of belonging to or being a part of a group or an organization; the state of being a member
smooth,,"having a flat, even surface; not rough; not having any bumps, ridges, or uneven parts"
portion,,a part of a whole
mirror,,a piece of glass with a shiny metallic material on one side which produces an image of anything that is in front of it
resort,,a place where many people go for a holiday
withdraw,,"to take money out of a bank account; to move out of a position, competition, area, etc."
resistance,bla bla,refusal to accept something new or different
giant,,"extremely big, or much bigger than other similar things"
bid,bla bla,an attempt to achieve something; an offer to pay a particular amount of money for something
naturally,,as you would expect; something that happens because of nature
summary,,a brief statement that gives the most important info
radical,,a very new and different from what is traditional
tune,,a series of musical notes that produce a pleasing sound when played or sung
van,,a vehicle that is used for carrying things but which is smaller than a truck
mutual,,shared between two or more people
boot,,a strong shoe that covers your foot and part of your leg
fascinate,,to interest someone a lot
entitle,,to give someone the right to do or have something
god,,the creator and ruler of the universe
broadcast,,"to send out [signals, programs, etc.] by radio or television"
singer,,someone who sings
platform,,"a raised surface for people to stand on, especially when they are speaking to a lot of people; the area in a railway station where you get on and off the train"
whenever,,at any or every time that
apartment,,a set of rooms for someone to live in on one level of a building or house
conventional,,Usual or traditional
independence,,"when someone looks after themselves and does not need money, help, or permission from other people"
reverse,,"to change to an opposite state ,way or condition"
illustration,,"a picture in a book, magazine, etc.; an example that explains or proves something"
loud,,making or causing a lot of noise; strong and noticeable in sound
loose,,"not tightly fastened, attached, or held"
quantity,,an amount or number of something
poem,,a piece of writing that usually has figurative language and that is written in separate lines that often have a repeated rhythm and sometimes rhyme
damn,,used to express anger
pose,,to put someone in a position to be photographed
depth,,a distance below a surface
significance,,the importance or meaning of something
planet,,"a large, round object in space that moves around the sun or another star"
iron,,"a heavy type of metal that is very common, occurs naturally in blood, and is used to make steel and in many products"
gradually,,slowly over a period of time
approval,,when you think that something or someone is good or right; official permission
evaluation,,to consider or study something carefully and decide how good or bad it is
wealth,,a large amount of money and possessions
visual,,"relating to seeing or to the eyes, sight"
consult,,to talk about something to make a decision
sponsor,,"to give money to someone to support an activity, event, or organization, sometimes as a way to advertise your company or product"
stupid,,not intelligent; having or showing a lack of ability to learn and understand things
trap,,a device that is used for catching animals
badly,,very seriously; in a way that is of low quality or in an unpleasant way
log,,"a long, heavy section of a tree that has fallen or been cut down"
crazy,,stupid or strange
adjust,,to change a position to be comfortable
dirty,,not clean
zero,,the number 0
gaze,,to look for a long time at someone or something or in a particular direction
button,,"a small, usually round piece of plastic, glass, metal, etc., that is sewn to a piece of clothing and is pushed through a loop or hole to fasten one part of the clothing to another part"
extraordinary,,very unusual; very different from what is normal or ordinary
hesitate,,to stop briefly before you do something especially because you are nervous or unsure about what to do
establishment,,"an organization or business; when an organization, school, business, etc. is started"
creative,,good at thinking of new ideas or using imagination to create new and unusual things
constantly,,happening a lot or all the time
probability,,how likely it is that something will happen
vegetable,,"a plant that you eat, for example potatoes, onions, beans, etc."
alcohol,,drinks such as wine and beer that can make you drunk
remarkable,,very unusual or noticeable in a way that you admire
throat,,the tube inside the neck that leads to the stomach and lungs
dependent,,decided or controlled by something else
steel,,"a strong, hard metal made of iron and carbon"
sustain,,to keep providing what is needed
ally,,"someone who supports you, especially when other people are against you; a country that has agreed to help another country, especially in a war"
ethnic,,connected with people who shares a cultural tradition
pleasant,,causing a feeling of happiness or pleasure
exceed,,to be greater in number than something
historian,,someone who studies or writes about history
sugar,,a sweet substance usually in the form of white or brown crystals or white powder that comes from plants and is used to make foods sweeter
brilliant,,very good; extremely clever; full of light or color
involvement,,when someone or something is involved in an activity or event
philosophy,,a study of ideas about the fundamental nature of life
hypothesis,,an idea that leads to further study or discussion
bread,,a baked food made from a mixture of flour and water
drag,,to pull [someone or something that is heavy or difficult to move]
edit,,to make changes so that something can be used
inner,,"on the inside, or near the middle of something"
statistic,,a number that represents a piece of information
liability,,when you are legally responsible for something; a debt; a disadvantage
anticipate,,to expect or look ahead to something positively
league,,a group of teams which compete against each other in a sport
seal,,an animal with smooth fur that eats fish and lives near the sea
grab,,to take hold of something or someone suddenly
flood,,a large amount of water covering an area of land that is usually dry
compensation,,money that you pay to someone because you are responsible for injuring them or damaging something; money paid for work
segment,,one of the parts that something can be divided into
compound,,combining two or more parts to form something new
occasionally,,not happening often
spin,,to turn or cause someone or something to turn around repeatedly
desert,,an area of very dry land that is usually covered with sand and is very hot
operator,,"a person who uses and controls something [such as a machine, device, or business]; someone who operates something"
tower,,"a tall, narrow building or structure that may stand apart from or be attached to another building or structure"
newly,,recently
paragraph,,a section of writing that usually deals with one subject
advocate,,to push for something positive
bath,,the act of washing the body usually by sitting or lying in a container filled with water
blind,,unable to see
confident,,having a feeling or belief that you can do something well or succeed at something; having confidence
overcome,,to defeat [someone or something]
briefly,,lasting only for a short time
pure,,not mixed with anything else
regularly,,"often; at the same time each day, week, month, etc."
counsel,,a lawyer; advice
disturb,,"to stop [someone] from working, sleeping, etc."
burden,,something difficult or unpleasant that you have to deal with or worry about
silent,,not speaking or making noise
behave,,to act in an acceptable way; to act properly
tap,,to hit [someone or something] lightly especially with a small sound
alarm,,a loud noise that warns you of danger or is used to wake you
fantastic,,very good
valley,,an area of low land between hills or mountains
preference,,a feeling of liking or wanting one person or thing more than another person or thing
discovery,,the act of finding or learning something for the first time
dare,,to have enough courage or confidence to do something
skirt,,a piece of clothing worn by women and girls that hangs from the waist down
eastern,,located toward the east
poverty,,the state of being poor
registration,,when a name or information is recorded on an official list
cigarette,,"a thin tube of paper filled with tobacco, that people smoke"
criticize,,to make negative comments about something or someone
bowl,,"a round container that has tall, curving sides and that is used for preparing or serving foods and liquids"
cousin,,a child of your uncle or aunt
offense,,"a criminal act; something that causes a person to be hurt, angry, or upset"
clause,,a part of a sentence that has its own subject
impress,,to make someone admire or respect you
jury,,a group of people in a court of law who decide if someone is guilty or not
venture,,a new activity that may not be successful
virus,,"an infectious organism too small to be seen that causes disease, or an illness that it causes; a harmful computer program"
anxiety,,fear or nervousness about what might happen
illegal,,not allowed by law
wrap,,to cover [something] by winding or folding a piece of material around it
harm,,"physical or mental damage or injury; something that causes someone or something to be hurt, broken, made less valuable or successful, etc."
survival,,"when someone or something continues to live or exist, especially after a difficult or dangerous situation"
teenager,,someone who is between 13 and 19 years old
specialize,,to spend most of your time studying one particular subject or doing one type of business
moderate,,average in size or amount; neither too much nor too little
limitation,,when something is controlled so that it is less than a particular amount or number
modify,,to make minor change to something
accurate,,there is no mistake or error
angle,,the difference between the direction of two lines or surfaces that come together; the space or shape formed when two lines or surfaces meet each other
comprehensive,,including most or all things
rival,,a person or thing that tries to defeat or be more successful than another
adequate,,enough for someone's needs
universal,,done or experienced by everyone
tourism,,"the business of providing services for tourists, including organizing their travel, hotels, entertainment, etc."
chest,,the front part of the body between the neck and the stomach
expenditure,,"when you use energy, time, or money"
margin,,"the edge or border of a page on above, below"
recovery,,when a system or situation or person returns to the way it was before something bad happened
mount,,to increase in amount or level
mate,,a friend; an animal's sexual partner
admire,,to feel respect or approval for [someone or something]
gesture,,"a movement you make with your hand, arm, or head to express what you are thinking or feeling"
musician,,"a person who writes, sings, or plays music"
rapid,,happening in a short amount of time
stair,,a series of steps that go from one level or floor to another
charm,,a quality that causes someone or something to be very likable; an attractive quality
slave,,someone who is legally owned by another person and is forced to work for that person without pay
scare,,to frighten a person or animal
amendment,,"a change in the words of a document, or the process of doing this"
incentive,,something that encourages a person to work hard
format,,"the form, design, or arrangement of something"
consultant,,someone who advises people about a particular subject
deficit,,the amount by which the money that you spend is more than the money that you receive
mortgage,,money that you borrow to buy a home
abstract,,relating to something that doesn't exist
overseas,,in or to a foreign country that is across a sea
literary,,of or relating to literature
experimental,,"relating to tests, especially scientific ones"
architecture,,the design and style of buildings; the profession of designing buildings
possess,,to have or own [something]
dig,,"to move soil, sand, snow, etc., in order to create a hole"
opponent,,someone who you compete against in a game or competition; someone who disagrees with an idea or action
evolution,,the way in which living things gradually change and develop over millions of years; a gradual process of change and development
versus,,used to say that one team or person is competing against another; used to compare two things or ideas
lend,,to give [something] to [someone] to be used for a period of time and then returned
custom,,an action or way of behaving that is usual and traditional among the people in a particular group or place
keen,,very interested or enthusiastic; very good or well developed
translate,,to change words from one language into another language
cough,,"to force air through your throat with a short, loud noise often because you are sick"
distinct,,recognizably different in nature from something else
rough,,having a surface that is not even
surgery,,when a doctor cuts your body open and repairs or removes something
buyer,,someone who buys something
burst,,to break open or into pieces in a sudden and violent way
pen,,a writing instrument that uses ink
quietly,,making little or no noise
laboratory,,a room used for scientific work
tube,,"a long, hollow object that is used especially to control the flow of a liquid or gas"
capability,,the ability or power to do something
province,,one of the large areas which some countries are divided into because of the type of government they have
twin,,one of two children who are born to the same mother at the same time
adapt,,to change something to fit a new purpose
chicken,,a bird that is raised by people for its eggs and meat
scholar,,someone who has studied a subject and knows a lot about it
mess,,"Someone or something that is a mess, or is in a mess, is dirty or untidy; a confused or difficult situation"
precisely,,exactly
therapy,,the work of treating mental or physical illness without using an operation
frequent,,happening often
wealthy,,rich
journal,,a book for recording personal experiences and thoughts
composition,,the way in which something is put together or arranged
mad,,very angry
tissue,,the material that animals and plants are made of; a soft piece of paper that you use for cleaning your nose
flash,,a sudden bright light
stroke,,a serious illness caused when a blood vessel in your brain suddenly breaks or is blocked
champion,,"a person, animal, or team that wins a competition"
sand,,"the very tiny, loose pieces of rock that cover beaches, deserts, etc."
promotion,,when someone is given a more important job in the same organization; an advertising campaign or sale
charity,,"an official organization that gives money, food, or help to people who need it; money, food, or other help"
bury,,to put [a dead person or animal] in a grave
tendency,,"something that someone often does, or something that often happens"
barrier,,something that prevents people from doing what they want to do
cream,,a very thick liquid or soft substance that is rubbed into the skin to make it softer or is used as a medicine for the skin
rid,,to no longer have or be affected or bothered by [someone or something that is unwanted or annoying]
brush,,"a tool with many stiff hairs, fibers, etc., that is used for cleaning, smoothing, or painting something"
dialog,,"a short conversation, especially written"
publisher,,"a company or person who prepares and prints books, newspapers, magazines, etc."
consequently,,as a result
democratic,,following or supporting the political system of democracy; where everyone has equal rights and can help to make decisions
abortion,,a medical operation to end a pregnancy when the baby is still too small to live
govern,,"to officially control and lead, conduct the policy, make decisions"
exact,,fully and completely correct or accurate
hurry,,"to move, act, or go quickly"
whilst,,during the same time; used to compare two different facts or situations
privilege,,"an advantage that only one person or group has, usually because of their position or because they are rich"
creature,,an animal of any type
dismiss,,to send [someone] away; to cause or allow [someone] to leave
cap,,"a small, soft hat that often has a hard curved part [called a visor] that extends out over your eyes"
